conversation	sent_id	token_id	token	event1	event2	event3	event4	event5	event6
1	5	7	to	O	O	O	O	O	
1	5	8	make	O	O	O	O	O	
1	5	9	sure	O	O	O	O	O	
1	5	10	your	O	O	O	O	O	
1	5	11	clothes	O	O	O	O	O	
1	5	12	are	O	O	O	O	O	
1	5	13	handled	O	O	O	O	O	
1	5	14	properly	O	O	O	O	O	
1	5	15	?	O	O	O	O	O	
1	6	1	I	O	O	O	O	O	
1	6	2	hang	O	O	O	O	B-event	
1	6	3	up	O	O	O	O	I-event	
1	6	4	my	O	O	O	O	I-event	
1	6	5	clothes	O	O	O	O	I-event	
1	6	6	to	O	O	O	O	O	
1	6	7	keep	O	O	O	O	O	
1	6	8	them	O	O	O	O	O	
1	6	9	neat	O	O	O	O	O	
1	6	10	and	O	O	O	O	O	
1	6	11	ready	O	O	O	O	O	
1	6	12	to	O	O	O	O	O	
1	6	13	wear	O	O	O	O	O	
1	6	14	next	O	O	O	O	O	
1	6	15	time	O	O	O	O	O	
1	6	16	.	O	O	O	O	O	
1	7	1	It	O	O	O	O	O	
1	7	2	's	O	O	O	O	O	
1	7	3	good	O	O	O	O	O	
1	7	4	to	O	O	O	O	O	
1	7	5	hear	O	O	O	O	O	
1	7	6	that	O	O	O	O	O	
1	7	7	you	O	O	O	O	O	
1	7	8	have	O	O	O	O	O	
1	7	9	a	O	O	O	O	O	
1	7	10	routine	O	O	O	O	O	
1	7	11	.	O	O	O	O	O	
1	7	12	How	O	O	O	O	O	
1	7	13	do	O	O	O	O	O	
1	7	14	you	O	O	O	O	O	
1	7	15	feel	O	O	O	O	O	
1	7	16	after	O	O	O	O	O	
1	7	17	a	O	O	O	O	O	
1	7	18	well	O	O	O	O	O	
1	7	19	-	O	O	O	O	O	
1	7	20	planned	O	O	O	O	O	
1	7	21	day	O	O	O	O	O	
1	7	22	?	O	O	O	O	O	
1	8	1	I	O	O	O	O	O	
1	8	2	feel	O	O	O	O	O	
1	8	3	more	O	O	O	O	O	
1	8	4	in	O	O	O	O	O	
1	8	5	control	O	O	O	O	O	
1	8	6	and	O	O	O	O	O	
1	8	7	am	O	O	O	O	O	
1	8	8	able	O	O	O	O	O	
1	8	9	to	O	O	O	O	O	
1	8	10	rest	O	O	O	O	O	
1	8	11	easier	O	O	O	O	O	
1	8	12	knowing	O	O	O	O	O	
1	8	13	things	O	O	O	O	O	
1	8	14	are	O	O	O	O	O	
1	8	15	in	O	O	O	O	O	
1	8	16	place	O	O	O	O	O	
1	8	17	.	O	O	O	O	O	
1	9	1	That	O	O	O	O	O	
1	9	2	sounds	O	O	O	O	O	
2	1	1	How	O	O	O	O	O	
2	1	2	do	O	O	O	O	O	
2	1	3	you	O	O	O	O	O	
2	1	4	typically	O	O	O	O	O	
2	1	5	start	O	O	O	O	O	
2	1	6	your	O	O	O	O	O	
2	1	7	day	O	O	O	O	O	
2	1	8	,	O	O	O	O	O	
2	1	9	getting	O	O	O	O	O	
2	1	10	dressed	O	O	O	O	O	
2	1	11	and	O	O	O	O	O	
2	1	12	ready	O	O	O	O	O	
2	1	13	?	O	O	O	O	O	
2	2	1	I	O	O	O	O	O	
2	2	2	usually	O	O	O	O	O	
2	2	3	put	B-event	O	O	O	O	
2	2	4	on	I-event	O	O	O	O	
2	2	5	my	I-event	O	O	O	O	
2	2	6	clothes	I-event	O	O	O	O	
2	2	7	right	B-time	O	O	O	O	
2	2	8	after	I-time	O	O	O	O	
2	2	9	waking	I-time	O	O	O	O	
2	2	10	up	I-time	O	O	O	O	
2	2	11	.	O	O	O	O	O	
2	3	1	And	O	O	O	O	O	
2	3	2	how	O	O	O	O	O	
2	3	3	about	O	O	O	O	O	
2	3	4	taking	O	O	O	O	O	
2	3	5	off	O	O	O	O	O	
2	3	6	your	O	O	O	O	O	
2	3	7	clothes	O	O	O	O	O	
2	3	8	before	O	O	O	O	O	
2	3	9	bed	O	O	O	O	O	
2	3	10	?	O	O	O	O	O	
2	4	1	I	O	O	O	O	O	
2	4	2	undress	O	B-event	O	O	O	
2	4	3	before	O	I-event	O	O	O	
2	4	4	changing	O	I-event	O	O	O	
2	4	5	into	O	I-event	O	O	O	
2	4	6	my	O	I-event	O	O	O	
2	4	7	night	O	I-event	O	O	O	
2	4	8	clothes	O	I-event	O	O	O	
2	4	9	.	O	O	O	O	O	
2	5	1	Do	O	O	O	O	O	
2	5	2	you	O	O	O	O	O	
2	5	3	have	O	O	O	O	O	
2	5	4	any	O	O	O	O	O	
2	5	5	routine	O	O	O	O	O	
2	5	6	for	O	O	O	O	O	
2	5	7	taking	O	O	O	O	O	
2	5	8	care	O	O	O	O	O	
2	5	9	of	O	O	O	O	O	
2	5	10	yourself	O	O	O	O	O	
2	5	11	?	O	O	O	O	O	
2	6	1	I	O	O	O	O	O	
2	6	2	make	O	O	O	O	O	
2	6	3	sure	O	O	O	O	O	
2	6	4	to	O	O	O	O	O	
2	6	5	have	O	O	B-event	O	O	
2	6	6	a	O	O	I-event	O	O	
2	6	7	warm	O	O	I-event	O	O	
2	6	8	shower	O	O	I-event	O	O	
2	6	9	every	O	O	B-time	O	O	
2	6	10	morning	O	O	I-time	O	O	
2	6	11	.	O	O	O	O	O	
2	7	1	That	O	O	O	O	O	
2	7	2	sounds	O	O	O	O	O	
2	7	3	like	O	O	O	O	O	
2	7	4	a	O	O	O	O	O	
2	7	5	great	O	O	O	O	O	
2	7	6	self	O	O	O	O	O	
2	7	7	-	O	O	O	O	O	
2	7	8	care	O	O	O	O	O	
2	7	9	habit	O	O	O	O	O	
2	7	10	.	O	O	O	O	O	
2	7	11	How	O	O	O	O	O	
2	7	12	's	O	O	O	O	O	
2	7	13	your	O	O	O	O	O	
2	7	14	overall	O	O	O	O	O	
2	7	15	health	O	O	O	O	O	
2	7	16	?	O	O	O	O	O	
2	8	1	I	O	O	O	O	O	
2	8	2	maintain	O	O	O	O	O	
2	8	3	it	O	O	O	O	O	
2	8	4	by	O	O	O	O	O	
2	8	5	eating	O	O	O	B-event	O	
2	8	6	well	O	O	O	I-event	O	
2	8	7	,	O	O	O	O	O	
2	8	8	exercising	O	O	O	O	B-event	
2	8	9	often	O	O	O	O	I-event	
2	8	10	,	O	O	O	O	O	
2	8	11	and	O	O	O	O	O	
2	8	12	resting	O	O	O	O	O	B-event
2	8	13	properly	O	O	O	O	O	I-event
2	8	14	.	O	O	O	O	O	
3	1	1	Do	O	O	O	O	O	
3	1	2	you	O	O	O	O	O	
3	1	3	have	O	O	O	O	O	
3	1	4	a	O	O	O	O	O	
3	1	5	routine	O	O	O	O	O	
3	1	6	for	O	O	O	O	O	
3	1	7	getting	O	O	O	O	O	
3	1	8	dressed	B-event	O	O	O	O	
3	1	9	in	B-time	O	O	O	O	
3	1	10	the	I-time	O	O	O	O	
3	1	11	morning	I-time	O	O	O	O	
3	1	12	?	O	O	O	O	O	
3	2	1	Yes	O	O	O	O	O	
3	2	2	,	O	O	O	O	O	
3	2	3	I	O	B-participants	O	O	O	
3	2	4	usually	O	O	O	O	O	
3	2	5	get	O	O	O	O	O	
3	2	6	dressed	O	B-event	O	O	O	
3	2	7	right	O	O	O	O	O	
3	2	8	after	O	O	O	O	O	
3	2	9	I	O	O	O	O	O	
3	2	10	shower	O	O	O	O	O	
3	2	11	around	O	B-time	O	O	O	
3	2	12	9	O	I-time	O	O	O	
3	2	13	a.m.	O	I-time	O	O	O	
3	3	1	How	O	O	O	O	O	
3	3	2	long	O	O	O	O	O	
3	3	3	does	O	O	O	O	O	
3	3	4	it	O	O	O	O	O	
3	3	5	take	O	O	O	O	O	
3	3	6	for	O	O	O	O	O	
3	3	7	you	O	O	O	O	O	
3	3	8	to	O	O	O	O	O	
3	3	9	pick	O	O	O	O	O	
3	3	10	out	O	O	O	O	O	
3	3	11	your	O	O	O	O	O	
3	3	12	clothes	O	O	O	O	O	
3	3	13	and	O	O	O	O	O	
3	3	14	dress	O	O	O	O	O	
3	3	15	up	O	O	O	O	O	
3	3	16	?	O	O	O	O	O	
3	4	1	It	O	O	O	O	O	
3	4	2	typically	O	O	O	O	O	
3	4	3	takes	O	O	O	O	O	
3	4	4	me	O	O	B-participants	O	O	
3	4	5	about	O	O	B-time	O	O	
3	4	6	15	O	O	I-time	O	O	
3	4	7	minutes	O	O	I-time	O	O	
3	4	8	to	O	O	O	O	O	
3	4	9	decide	O	O	B-event	O	O	
3	4	10	and	O	O	O	O	O	
3	4	11	get	O	O	I-event	O	O	
3	4	12	dressed	O	O	I-event	O	O	
3	4	13	.	O	O	O	O	O	
3	5	1	Do	O	O	O	O	O	
3	5	2	you	O	O	O	O	O	
3	5	3	find	O	O	O	O	O	
3	5	4	it	O	O	O	O	O	
3	5	5	easier	O	O	O	O	O	
3	5	6	to	O	O	O	O	O	
3	5	7	wear	O	O	O	O	O	
3	5	8	specific	O	O	O	O	O	
3	5	9	types	O	O	O	O	O	
3	5	10	of	O	O	O	O	O	
3	5	11	clothing	O	O	O	O	O	
3	5	12	given	O	O	O	O	O	
3	5	13	your	O	O	O	O	O	
3	5	14	morning	O	O	O	O	O	
3	5	15	routine	O	O	O	O	O	
3	5	16	?	O	O	O	O	O	
3	6	1	Yes	O	O	O	O	O	
3	6	2	,	O	O	O	O	O	
3	6	3	I	O	O	O	O	O	
3	6	4	prefer	O	O	O	O	O	
3	6	5	clothes	O	O	O	O	O	
3	6	6	that	O	O	O	O	O	
3	6	7	are	O	O	O	O	O	
3	6	8	easy	O	O	O	O	O	
3	6	9	to	O	O	O	O	O	
3	6	10	put	O	O	O	B-event	O	
3	6	11	on	O	O	O	O	O	
3	6	12	and	O	O	O	O	O	
3	6	13	comfortable	O	O	O	O	O	
3	6	14	to	O	O	O	O	O	
3	6	15	wear	O	O	O	O	O	
3	6	16	.	O	O	O	O	O	
3	7	1	That	O	O	O	O	O	
3	7	2	sounds	O	O	O	O	O	
3	7	3	practical	O	O	O	O	O	
3	7	4	.	O	O	O	O	O	
3	7	5	How	O	O	O	O	O	
3	7	6	do	O	O	O	O	O	
3	7	7	you	O	O	O	O	O	
3	7	8	feel	O	O	O	O	O	
3	7	9	after	O	O	O	O	O	
3	7	10	getting	O	O	O	O	O	
3	7	11	dressed	O	O	O	O	O	
3	7	12	each	O	O	O	O	B-time	
3	7	13	morning	O	O	O	O	I-time	
3	7	14	?	O	O	O	O	O	
3	8	1	I	O	O	O	O	B-participants	
3	8	2	feel	O	O	O	O	O	
3	8	3	ready	O	O	O	O	O	
3	8	4	to	O	O	O	O	O	
3	8	5	start	O	O	O	O	B-event	
3	8	6	the	O	O	O	O	I-event	
3	8	7	day	O	O	O	O	I-event	
3	8	8	and	O	O	O	O	O	
3	8	9	more	O	O	O	O	O	
3	8	10	put	O	O	O	O	O	
3	8	11	together	O	O	O	O	O	
3	8	12	after	O	O	O	O	O	
3	8	13	dressing	O	O	O	O	O	
3	8	14	up	O	O	O	O	O	
3	8	15	.	O	O	O	O	O	
3	9	1	It	O	O	O	O	O	
3	9	2	's	O	O	O	O	O	
3	9	3	nice	O	O	O	O	O	
3	9	4	to	O	O	O	O	O	
3	9	5	have	O	O	O	O	O	
3	9	6	a	O	O	O	O	O	
3	9	7	routine	O	O	O	O	O	
3	9	8	that	O	O	O	O	O	
3	9	9	sets	O	O	O	O	O	
3	9	10	a	O	O	O	O	O	
3	9	11	positive	O	O	O	O	O	
4	1	1	How	O	O	O	O	O	
4	1	2	do	O	O	O	O	O	
4	1	3	you	O	O	O	O	O	
4	1	4	usually	O	O	O	O	O	
4	1	5	manage	O	O	O	O	O	
4	1	6	to	O	O	O	O	O	
4	1	7	put	B-event	O	O	O	O	
4	1	8	on	I-event	O	O	O	O	
4	1	9	shoes	I-event	O	O	O	O	
4	1	10	in	O	O	O	O	O	
4	1	11	the	O	O	O	O	O	
4	1	12	morning	O	O	O	O	O	
4	1	13	?	O	O	O	O	O	
4	2	1	I	O	O	O	O	O	
4	2	2	use	O	O	O	O	O	
4	2	3	a	O	O	O	O	O	
4	2	4	long	O	O	O	O	O	
4	2	5	shoe	O	O	O	O	O	
4	2	6	horn	O	O	O	O	O	
4	2	7	to	O	O	O	O	O	
4	2	8	slip	O	O	O	O	O	
4	2	9	them	O	O	O	O	O	
4	2	10	on	O	O	O	O	O	
4	2	11	while	O	O	O	O	O	
4	2	12	sitting	O	O	O	O	O	
4	2	13	.	O	O	O	O	O	
4	3	1	Do	O	O	O	O	O	
4	3	2	you	O	O	O	O	O	
4	3	3	have	O	O	O	O	O	
4	3	4	a	O	O	O	O	O	
4	3	5	specific	O	O	O	O	O	
4	3	6	time	O	O	O	O	O	
4	3	7	you	O	O	O	O	O	
4	3	8	do	O	O	O	O	O	
4	3	9	this	O	O	O	O	O	
4	3	10	routine	O	O	O	O	O	
4	3	11	?	O	O	O	O	O	
4	4	1	Usually	O	O	O	O	O	
4	4	2	right	B-time	O	O	O	O	
4	4	3	after	I-time	O	O	O	O	
4	4	4	breakfast	I-time	O	O	O	O	
4	4	5	while	I-time	O	O	O	O	
4	4	6	I	I-time	O	O	O	O	
4	4	7	watch	I-time	O	O	O	O	
4	4	8	the	I-time	O	O	O	O	
4	4	9	news	I-time	O	O	O	O	
4	4	10	.	I-time	O	O	O	O	
4	5	1	And	O	O	O	O	O	
4	5	2	how	O	O	O	O	O	
4	5	3	about	O	O	O	O	O	
4	5	4	taking	O	B-event	O	O	O	
4	5	5	off	O	I-event	O	O	O	
4	5	6	your	O	I-event	O	O	O	
4	5	7	shoes	O	I-event	O	O	O	
4	5	8	at	O	O	O	O	O	
4	5	9	the	O	O	O	O	O	
4	5	10	end	O	O	O	O	O	
4	5	11	of	O	O	O	O	O	
4	5	12	the	O	O	O	O	O	
4	5	13	day	O	O	O	O	O	
4	5	14	?	O	O	O	O	O	
4	6	1	I	O	O	O	O	O	
4	6	2	prefer	O	O	O	O	O	
4	6	3	slipping	O	O	O	O	O	
4	6	4	them	O	O	O	O	O	
4	6	5	off	O	O	O	O	O	
4	6	6	with	O	O	O	O	O	
4	6	7	a	O	O	O	O	O	
4	6	8	gentle	O	O	O	O	O	
4	6	9	tug	O	O	O	O	O	
4	6	10	when	O	O	O	O	O	
4	6	11	I	O	O	O	O	O	
4	6	12	sit	O	O	O	O	O	
4	6	13	to	O	O	O	O	O	
4	6	14	relax	O	O	O	O	O	
4	6	15	.	O	O	O	O	O	
4	7	1	Is	O	O	O	O	O	
4	7	2	there	O	O	O	O	O	
4	7	3	a	O	O	O	O	O	
4	7	4	preferred	O	O	O	O	O	
4	7	5	time	O	O	O	O	O	
4	7	6	of	O	O	O	O	O	
4	7	7	the	O	O	O	O	O	
4	7	8	day	O	O	O	O	O	
4	7	9	for	O	O	O	O	O	
4	7	10	that	O	O	O	O	O	
4	7	11	routine	O	O	O	O	O	
4	7	12	?	O	O	O	O	O	
4	8	1	I	O	O	O	O	O	
4	8	2	like	O	O	O	O	O	
4	8	3	taking	O	O	O	O	O	
4	8	4	my	O	O	O	O	O	
4	8	5	shoes	O	O	O	O	O	
4	8	6	off	O	O	O	O	O	
4	8	7	after	O	B-time	O	O	O	
4	8	8	dinner	O	I-time	O	O	O	
4	8	9	before	O	I-time	O	O	O	
4	8	10	settling	O	I-time	O	O	O	
4	8	11	on	O	I-time	O	O	O	
4	8	12	the	O	I-time	O	O	O	
4	8	13	couch	O	I-time	O	O	O	
4	8	14	.	O	I-time	O	O	O	
5	1	1	When	O	O	O	O	O	
5	1	2	do	O	O	O	O	O	
5	1	3	you	O	O	O	O	O	
5	1	4	usually	O	O	O	O	O	
5	1	5	put	B-event	O	O	O	O	
5	1	6	on	I-event	O	O	O	O	
5	1	7	your	I-event	O	O	O	O	
5	1	8	clothes	I-event	O	O	O	O	
5	1	9	during	O	O	O	O	O	
5	1	10	the	O	O	O	O	O	
5	1	11	day	O	O	O	O	O	
5	1	12	?	O	O	O	O	O	
5	2	1	In	B-time	O	O	O	O	
5	2	2	the	I-time	O	O	O	O	
5	2	3	morning	I-time	O	O	O	O	
5	2	4	after	I-time	O	O	O	O	
5	2	5	I	I-time	O	O	O	O	
5	2	6	shower	I-time	O	O	O	O	
5	2	7	.	O	O	O	O	O	
5	3	1	Do	O	O	O	O	O	
5	3	2	you	O	O	O	O	O	
5	3	3	require	O	O	O	O	O	
5	3	4	any	O	O	O	O	O	
5	3	5	assistance	O	O	O	O	O	
5	3	6	when	O	O	O	O	O	
5	3	7	getting	O	O	O	O	O	
5	3	8	dressed	O	O	O	O	O	
5	3	9	?	O	O	O	O	O	
5	4	1	No	O	O	O	O	O	
5	4	2	,	O	O	O	O	O	
5	4	3	I	O	O	O	O	O	
5	4	4	can	O	O	O	O	O	
5	4	5	manage	O	O	O	O	O	
5	4	6	it	O	O	O	O	O	
5	4	7	on	O	O	O	O	O	
5	4	8	my	O	O	O	O	O	
5	4	9	own	O	O	O	O	O	
5	4	10	.	O	O	O	O	O	
5	5	1	How	O	O	O	O	O	
5	5	2	about	O	O	O	O	O	
5	5	3	taking	O	B-event	O	O	O	
5	5	4	off	O	I-event	O	O	O	
5	5	5	your	O	I-event	O	O	O	
5	5	6	clothes	O	I-event	O	O	O	
5	5	7	,	O	O	O	O	O	
5	5	8	when	O	O	O	O	O	
5	5	9	do	O	O	O	O	O	
5	5	10	you	O	O	O	O	O	
5	5	11	usually	O	O	O	O	O	
5	5	12	do	O	O	O	O	O	
5	5	13	that	O	O	O	O	O	
5	5	14	?	O	O	O	O	O	
5	6	1	Before	O	B-time	O	O	O	
5	6	2	bedtime	O	I-time	O	O	O	
5	6	3	every	O	I-time	O	O	O	
5	6	4	night	O	I-time	O	O	O	
5	6	5	.	O	O	O	O	O	
5	7	1	Do	O	O	O	O	O	
5	7	2	you	O	O	O	O	O	
5	7	3	have	O	O	O	O	O	
5	7	4	any	O	O	O	O	O	
5	7	5	particular	O	O	O	O	O	
5	7	6	routine	O	O	O	O	O	
5	7	7	for	O	O	O	O	O	
5	7	8	getting	O	O	O	O	O	
5	7	9	ready	O	O	O	O	O	
5	7	10	for	O	O	O	O	O	
5	7	11	bed	O	O	O	O	O	
5	7	12	?	O	O	O	O	O	
5	8	1	Yes	O	O	O	O	O	
5	8	2	,	O	O	O	O	O	
5	8	3	I	O	O	O	O	O	
5	8	4	change	O	O	B-event	O	O	
5	8	5	into	O	O	I-event	O	O	
5	8	6	my	O	O	I-event	O	O	
5	8	7	pajamas	O	O	I-event	O	O	
5	8	8	and	O	O	I-event	O	O	
5	8	9	brush	O	O	I-event	O	O	
5	8	10	my	O	O	I-event	O	O	
5	8	11	teeth	O	O	I-event	O	O	
5	8	12	.	O	O	O	O	O	
5	9	1	That	O	O	O	O	O	
5	9	2	sounds	O	O	O	O	O	
5	9	3	like	O	O	O	O	O	
5	9	4	a	O	O	O	O	O	
5	9	5	good	O	O	O	O	O	
5	9	6	bedtime	O	O	O	O	O	
5	9	7	routine	O	O	O	O	O	
5	9	8	to	O	O	O	O	O	
5	9	9	have	O	O	O	O	O	
5	9	10	,	O	O	O	O	O	
5	9	11	helps	O	O	O	O	O	
5	9	12	you	O	O	O	O	O	
5	9	13	relax	O	O	O	O	O	
5	9	14	.	O	O	O	O	O	
6	1	1	When	O	O	O	O	O	
6	1	2	do	O	O	O	O	O	
6	1	3	you	O	O	O	O	O	
6	1	4	usually	O	O	O	O	O	
6	1	5	put	B-event	O	O	O	O	
6	1	6	on	I-event	O	O	O	O	
6	1	7	your	I-event	O	O	O	O	
6	1	8	clothes	I-event	O	O	O	O	
6	1	9	?	O	O	O	O	O	
6	2	1	In	B-time	O	O	O	O	
6	2	2	the	I-time	O	O	O	O	
6	2	3	morning	I-time	O	O	O	O	
6	2	4	,	I-time	O	O	O	O	
6	2	5	after	I-time	O	O	O	O	
6	2	6	taking	I-time	O	O	O	O	
6	2	7	a	I-time	O	O	O	O	
6	2	8	shower	I-time	O	O	O	O	
6	2	9	.	I-time	O	O	O	O	
6	3	1	And	O	O	O	O	O	
6	3	2	when	O	O	O	O	O	
6	3	3	do	O	O	O	O	O	
6	3	4	you	O	O	O	O	O	
6	3	5	take	O	B-event	O	O	O	
6	3	6	off	O	I-event	O	O	O	
6	3	7	your	O	I-event	O	O	O	
6	3	8	clothes	O	I-event	O	O	O	
6	3	9	?	O	O	O	O	O	
6	4	1	When	O	B-time	O	O	O	
6	4	2	changing	O	I-time	O	O	O	
6	4	3	into	O	I-time	O	O	O	
6	4	4	comfy	O	I-time	O	O	O	
6	4	5	pajamas	O	I-time	O	O	O	
6	4	6	before	O	I-time	O	O	O	
6	4	7	bed	O	I-time	O	O	O	
6	4	8	.	O	I-time	O	O	O	
6	5	1	That	O	O	O	O	O	
6	5	2	's	O	O	O	O	O	
6	5	3	nice	O	O	O	O	O	
6	5	4	.	O	O	O	O	O	
6	5	5	How	O	O	O	O	O	
6	5	6	do	O	O	O	O	O	
6	5	7	you	O	O	O	O	O	
6	5	8	feel	O	O	O	O	O	
6	5	9	after	O	O	O	O	O	
6	5	10	wearing	O	O	O	O	O	
6	5	11	fresh	O	O	O	O	O	
6	5	12	clothes	O	O	O	O	O	
6	5	13	?	O	O	O	O	O	
6	6	1	It	O	O	O	O	O	
6	6	2	makes	O	O	O	O	O	
6	6	3	me	O	O	O	O	O	
6	6	4	feel	O	O	O	O	O	
6	6	5	ready	O	O	O	O	O	
6	6	6	to	O	O	O	O	O	
6	6	7	start	O	O	O	O	O	
6	6	8	my	O	O	O	O	O	
6	6	9	day	O	O	O	O	O	
6	6	10	or	O	O	O	O	O	
6	6	11	relax	O	O	O	O	O	
6	6	12	at	O	O	O	O	O	
6	6	13	night	O	O	O	O	O	
6	6	14	.	O	O	O	O	O	
6	7	1	Do	O	O	O	O	O	
6	7	2	you	O	O	O	O	O	
6	7	3	need	O	O	O	O	O	
6	7	4	any	O	O	O	O	O	
6	7	5	help	O	O	O	O	O	
6	7	6	with	O	O	O	O	O	
6	7	7	these	O	O	O	O	O	
6	7	8	tasks	O	O	O	O	O	
6	7	9	these	O	O	O	O	O	
6	7	10	days	O	O	O	O	O	
6	7	11	?	O	O	O	O	O	
6	8	1	Not	O	O	O	O	O	
6	8	2	at	O	O	O	O	O	
6	8	3	the	O	O	O	O	O	
6	8	4	moment	O	O	O	O	O	
6	8	5	,	O	O	O	O	O	
6	8	6	I	O	O	O	O	O	
6	8	7	manage	O	O	O	O	O	
6	8	8	well	O	O	O	O	O	
6	8	9	on	O	O	O	O	O	
6	8	10	my	O	O	O	O	O	
6	8	11	own	O	O	O	O	O	
6	8	12	.	O	O	O	O	O	
6	9	1	That	O	O	O	O	O	
6	9	2	's	O	O	O	O	O	
6	9	3	good	O	O	O	O	O	
6	9	4	to	O	O	O	O	O	
6	9	5	hear	O	O	O	O	O	
6	9	6	.	O	O	O	O	O	
6	9	7	It	O	O	O	O	O	
6	9	8	's	O	O	O	O	O	
6	9	9	important	O	O	O	O	O	
6	9	10	to	O	O	O	O	O	
6	9	11	take	O	O	O	O	O	
6	9	12	care	O	O	O	O	O	
6	9	13	of	O	O	O	O	O	
6	9	14	ourselves	O	O	O	O	O	
6	9	15	.	O	O	O	O	O	
7	1	1	Do	O	O	O	O	O	
7	1	2	you	O	O	O	O	O	
7	1	3	have	O	O	O	O	O	
7	1	4	a	O	O	O	O	O	
7	1	5	specific	O	O	O	O	O	
7	1	6	time	O	O	O	O	O	
7	1	7	you	O	O	O	O	O	
7	1	8	usually	O	O	O	O	O	
7	1	9	put	O	O	O	O	O	
7	1	10	on	O	O	O	O	O	
7	1	11	your	O	O	O	O	O	
7	1	12	clothes	O	O	O	O	O	
7	1	13	each	O	O	O	O	O	
7	1	14	day	O	O	O	O	O	
7	1	15	?	O	O	O	O	O	
7	2	1	I	O	O	O	O	O	
7	2	2	put	B-event	O	O	O	O	
7	2	3	on	I-event	O	O	O	O	
7	2	4	my	I-event	O	O	O	O	
7	2	5	clothes	I-event	O	O	O	O	
7	2	6	after	B-time	O	O	O	O	
7	2	7	my	I-time	O	O	O	O	
7	2	8	morning	I-time	O	O	O	O	
7	2	9	shower	I-time	O	O	O	O	
7	2	10	.	O	O	O	O	O	
7	3	1	How	O	O	O	O	O	
7	3	2	do	O	O	O	O	O	
7	3	3	you	O	O	O	O	O	
7	3	4	go	O	O	O	O	O	
7	3	5	about	O	O	O	O	O	
7	3	6	taking	O	O	O	O	O	
7	3	7	off	O	O	O	O	O	
7	3	8	your	O	O	O	O	O	
7	3	9	clothes	O	O	O	O	O	
7	3	10	before	O	O	O	O	O	
7	3	11	bed	O	O	O	O	O	
7	3	12	?	O	O	O	O	O	
7	4	1	I	O	O	O	O	O	
7	4	2	take	O	B-event	O	O	O	
7	4	3	off	O	I-event	O	O	O	
7	4	4	my	O	I-event	O	O	O	
7	4	5	clothes	O	I-event	O	O	O	
7	4	6	when	O	B-time	O	O	O	
7	4	7	I	O	I-time	O	O	O	
7	4	8	'm	O	I-time	O	O	O	
7	4	9	getting	O	I-time	O	O	O	
7	4	10	ready	O	I-time	O	O	O	
7	4	11	for	O	I-time	O	O	O	
7	4	12	bed	O	I-time	O	O	O	
