conversation	sent_id	token_id	token	event1	event2	event3	event4	event5	event6	event7
3	6	11	make	O	O	O	O	O		
3	6	12	sure	O	O	O	O	O		
3	6	13	I	O	O	O	O	O		
3	6	14	'm	O	O	O	O	O		
3	6	15	completely	O	O	O	O	O		
3	6	16	dry	O	O	O	O	O		
3	6	17	.	O	O	O	O	O		
3	7	1	Good	O	O	O	O	O		
3	7	2	to	O	O	O	O	O		
3	7	3	hear	O	O	O	O	O		
3	7	4	you	O	O	O	O	O		
3	7	5	're	O	O	O	O	O		
3	7	6	taking	O	O	O	O	O		
3	7	7	care	O	O	O	O	O		
3	7	8	of	O	O	O	O	O		
3	7	9	yourself	O	O	O	O	O		
3	7	10	.	O	O	O	O	O		
3	7	11	How	O	O	O	O	O		
3	7	12	about	O	O	O	O	O		
3	7	13	washing	O	O	B-event	O	O		
3	7	14	your	O	O	O	O	O		
3	7	15	feet	O	O	I-event	O	O		
3	7	16	?	O	O	O	O	O		
3	8	1	I	O	O	O	O	O		
3	8	2	wash	O	O	O	O	O		
3	8	3	my	O	O	O	O	O		
3	8	4	feet	O	O	O	O	O		
3	8	5	every	O	O	O	O	O		
3	8	6	evening	O	O	B-time	O	O		
3	8	7	before	O	O	O	O	O		
3	8	8	bed	O	O	O	O	O		
3	8	9	,	O	O	O	O	O		
3	8	10	especially	O	O	O	O	O		
3	8	11	during	O	O	O	O	O		
3	8	12	the	O	O	O	O	O		
3	8	13	summer	O	O	I-time	O	O		
3	8	14	.	O	O	O	O	O		
4	1	1	Hey	O	O	O	O	O		
4	1	2	there	O	O	O	O	O		
4	1	3	,	O	O	O	O	O		
4	1	4	how	O	O	O	O	O		
4	1	5	was	O	O	O	O	O		
4	1	6	your	O	O	O	O	O		
4	1	7	day	O	O	O	O	O		
4	1	8	today	O	O	O	O	O		
4	1	9	?	O	O	O	O	O		
4	1	10	Have	O	O	O	O	O		
4	1	11	you	O	O	O	O	O		
4	1	12	had	O	O	O	O	O		
4	1	13	your	O	O	O	O	O		
4	1	14	dinner	O	O	O	O	O		
4	1	15	yet	O	O	O	O	O		
4	1	16	?	O	O	O	O	O		
4	2	1	Yes	O	O	O	O	O		
4	2	2	,	O	O	O	O	O		
4	2	3	I	O	O	O	O	O		
4	2	4	just	O	O	O	O	O		
4	2	5	finished	B-event	O	O	O	O		
4	2	6	dinner	I-event	O	O	O	O		
4	2	7	a	O	O	O	O	O		
4	2	8	little	B-time	O	O	O	O		
4	2	9	while	I-time	O	O	O	O		
4	2	10	back	I-time	O	O	O	O		
4	2	11	.	O	O	O	O	O		
4	3	1	When	O	O	O	O	O		
4	3	2	do	O	O	O	O	O		
4	3	3	you	O	O	O	O	O		
4	3	4	usually	O	O	O	O	O		
4	3	5	take	O	O	O	O	O		
4	3	6	a	O	O	O	O	O		
4	3	7	shower	O	O	O	O	O		
4	3	8	to	O	O	O	O	O		
4	3	9	freshen	O	O	O	O	O		
4	3	10	up	O	O	O	O	O		
4	3	11	?	O	O	O	O	O		
4	4	1	I	O	O	O	O	O		
4	4	2	usually	O	O	O	O	O		
4	4	3	take	O	B-event	O	O	O		
4	4	4	a	O	I-event	O	O	O		
4	4	5	shower	O	I-event	O	O	O		
4	4	6	in	O	B-time	O	O	O		
4	4	7	the	O	I-time	O	O	O		
4	4	8	morning	O	I-time	O	O	O		
4	4	9	right	O	I-time	O	O	O		
4	4	10	after	O	I-time	O	O	O		
4	4	11	breakfast	O	I-time	O	O	O		
4	4	12	.	O	O	O	O	O		
4	5	1	Oh	O	O	O	O	O		
4	5	2	,	O	O	O	O	O		
4	5	3	nice	O	O	O	O	O		
4	5	4	.	O	O	O	O	O		
4	5	5	How	O	O	O	O	O		
4	5	6	about	O	O	O	O	O		
4	5	7	washing	O	O	O	O	O		
4	5	8	your	O	O	O	O	O		
4	5	9	face	O	O	O	O	O		
4	5	10	before	O	O	O	O	O		
4	5	11	bed	O	O	O	O	O		
4	5	12	?	O	O	O	O	O		
4	6	1	I	O	O	O	O	O		
4	6	2	wash	O	O	B-event	O	O		
4	6	3	my	O	O	I-event	O	O		
4	6	4	face	O	O	I-event	O	O		
4	6	5	every	O	O	I-event	O	O		
4	6	6	night	O	O	B-time	O	O		
4	6	7	before	O	O	I-time	O	O		
4	6	8	brushing	O	O	I-time	O	O		
4	6	9	my	O	O	I-time	O	O		
4	6	10	teeth	O	O	I-time	O	O		
4	6	11	.	O	O	I-time	O	O		
4	7	1	That	O	O	O	O	O		
4	7	2	's	O	O	O	O	O		
4	7	3	great	O	O	O	O	O		
4	7	4	.	O	O	O	O	O		
4	7	5	Do	O	O	O	O	O		
4	7	6	you	O	O	O	O	O		
4	7	7	also	O	O	O	O	O		
4	7	8	remember	O	O	O	O	O		
4	7	9	to	O	O	O	O	O		
4	7	10	wash	O	O	O	O	O		
4	7	11	your	O	O	O	O	O		
4	7	12	hands	O	O	O	O	O		
4	7	13	frequently	O	O	O	O	O		
4	7	14	during	O	O	O	O	O		
4	7	15	the	O	O	O	O	O		
4	7	16	day	O	O	O	O	O		
4	7	17	?	O	O	O	O	O		
4	8	1	Yes	O	O	O	O	O		
4	8	2	,	O	O	O	O	O		
4	8	3	I	O	O	O	O	O		
4	8	4	make	O	O	O	O	O		
4	8	5	sure	O	O	O	O	O		
4	8	6	to	O	O	O	O	O		
4	8	7	wash	O	O	O	B-event	O		
4	8	8	my	O	O	O	I-event	O		
4	8	9	hands	O	O	O	I-event	O		
4	8	10	before	O	O	O	B-time	O		
4	8	11	and	O	O	O	I-time	O		
4	8	12	after	O	O	O	I-time	O		
4	8	13	meals	O	O	O	I-time	O		
4	8	14	and	O	O	O	I-time	O		
4	8	15	whenever	O	O	O	I-time	O		
4	8	16	I	O	O	O	I-time	O		
4	8	17	come	O	O	O	I-time	O		
4	8	18	back	O	O	O	I-time	O		
4	8	19	home	O	O	O	I-time	O		
4	8	20	.	O	O	O	I-time	O		
5	1	1	How	O	O	O	O	O		
5	1	2	do	O	O	O	O	O		
5	1	3	you	O	O	O	O	O		
5	1	4	usually	O	O	O	O	O		
5	1	5	start	O	O	O	O	O		
5	1	6	your	O	O	O	O	O		
5	1	7	day	O	O	O	O	O		
5	1	8	,	O	O	O	O	O		
5	1	9	Mrs.	O	O	O	O	O		
5	1	10	Johnson	O	O	O	O	O		
5	1	11	?	O	O	O	O	O		
5	2	1	I	O	O	O	O	O		
5	2	2	start	O	O	O	O	O		
5	2	3	my	O	O	O	O	O		
5	2	4	day	O	O	O	O	O		
5	2	5	by	O	O	O	O	O		
5	2	6	taking	B-event	O	O	O	O		
5	2	7	a	I-event	O	O	O	O		
5	2	8	shower	I-event	O	O	O	O		
5	2	9	in	B-time	O	O	O	O		
5	2	10	the	I-time	O	O	O	O		
5	2	11	morning	I-time	O	O	O	O		
5	2	12	.	O	O	O	O	O		
5	3	1	Do	O	O	O	O	O		
5	3	2	you	O	O	O	O	O		
5	3	3	enjoy	O	O	O	O	O		
5	3	4	taking	O	O	O	O	O		
5	3	5	the	O	O	O	O	O		
5	3	6	shower	O	O	O	O	O		
5	3	7	every	O	O	O	O	O		
5	3	8	morning	O	O	O	O	O		
5	3	9	?	O	O	O	O	O		
5	4	1	Yes	O	O	O	O	O		
5	4	2	,	O	O	O	O	O		
5	4	3	it	O	O	O	O	O		
5	4	4	makes	O	O	O	O	O		
5	4	5	me	O	O	O	O	O		
5	4	6	feel	O	O	O	O	O		
5	4	7	refreshed	O	O	O	O	O		
5	4	8	and	O	O	O	O	O		
5	4	9	ready	O	O	O	O	O		
5	4	10	for	O	O	O	O	O		
5	4	11	the	O	O	O	O	O		
5	4	12	day	O	O	O	O	O		
5	4	13	.	O	O	O	O	O		
5	5	1	That	O	O	O	O	O		
5	5	2	's	O	O	O	O	O		
5	5	3	good	O	O	O	O	O		
5	5	4	to	O	O	O	O	O		
5	5	5	hear	O	O	O	O	O		
5	5	6	.	O	O	O	O	O		
5	5	7	How	O	O	O	O	O		
5	5	8	about	O	O	O	O	O		
5	5	9	washing	O	B-event	O	O	O		
5	5	10	your	O	I-event	O	O	O		
5	5	11	face	O	I-event	O	O	O		
5	5	12	and	O	I-event	O	O	O		
5	5	13	hands	O	I-event	O	O	O		
5	5	14	during	O	B-time	O	O	O		
5	5	15	the	O	I-time	O	O	O		
5	5	16	day	O	I-time	O	O	O		
5	5	17	?	O	O	O	O	O		
5	6	1	I	O	O	O	O	O		
5	6	2	always	O	O	O	O	O		
5	6	3	wash	O	O	B-event	O	O		
5	6	4	my	O	O	I-event	O	O		
5	6	5	face	O	O	I-event	O	O		
5	6	6	and	O	O	I-event	O	O		
5	6	7	hands	O	O	I-event	O	O		
5	6	8	before	O	O	B-time	O	O		
5	6	9	meals	O	O	I-time	O	O		
5	6	10	and	O	O	I-time	O	O		
5	6	11	whenever	O	O	I-time	O	O		
5	6	12	necessary	O	O	I-time	O	O		
5	6	13	.	O	O	O	O	O		
5	7	1	It	O	O	O	O	O		
5	7	2	's	O	O	O	O	O		
5	7	3	important	O	O	O	O	O		
5	7	4	to	O	O	O	O	O		
5	7	5	keep	O	O	O	O	O		
5	7	6	up	O	O	O	O	O		
5	7	7	with	O	O	O	O	O		
5	7	8	those	O	O	O	O	O		
5	7	9	habits	O	O	O	O	O		
5	7	10	.	O	O	O	O	O		
5	7	11	How	O	O	O	O	O		
5	7	12	about	O	O	O	O	O		
5	7	13	washing	O	O	O	O	O		
5	7	14	your	O	O	O	O	O		
5	7	15	feet	O	O	O	O	O		
5	7	16	?	O	O	O	O	O		
5	8	1	I	O	O	O	O	O		
5	8	2	usually	O	O	O	O	O		
5	8	3	wash	O	O	O	B-event	O		
5	8	4	my	O	O	O	I-event	O		
5	8	5	feet	O	O	O	I-event	O		
5	8	6	before	O	O	O	B-time	O		
5	8	7	going	O	O	O	I-time	O		
5	8	8	to	O	O	O	I-time	O		
5	8	9	bed	O	O	O	I-time	O		
5	8	10	to	O	O	O	O	O		
5	8	11	help	O	O	O	O	O		
5	8	12	me	O	O	O	O	O		
5	8	13	relax	O	O	O	O	O		
5	8	14	.	O	O	O	O	O		
6	1	1	When	O	O	O	O	O		
6	1	2	do	O	O	O	O	O		
6	1	3	you	O	O	O	O	O		
6	1	4	usually	O	O	O	O	O		
6	1	5	take	B-event	O	O	O	O		
6	1	6	your	O	O	O	O	O		
6	1	7	showers	I-event	O	O	O	O		
6	1	8	,	O	O	O	O	O		
6	1	9	Mr.	O	O	O	O	O		
6	1	10	Johnson	O	O	O	O	O		
6	1	11	?	O	O	O	O	O		
6	2	1	I	O	O	O	O	O		
6	2	2	prefer	O	O	O	O	O		
6	2	3	to	O	O	O	O	O		
6	2	4	take	O	O	O	O	O		
6	2	5	my	O	O	O	O	O		
6	2	6	showers	O	O	O	O	O		
6	2	7	in	B-time	O	O	O	O		
6	2	8	the	O	O	O	O	O		
6	2	9	evening	I-time	O	O	O	O		
6	2	10	before	I-time	O	O	O	O		
6	2	11	bed	I-time	O	O	O	O		
6	2	12	.	O	O	O	O	O		
6	3	1	Do	O	O	O	O	O		
6	3	2	you	O	O	O	O	O		
6	3	3	have	O	O	O	O	O		
6	3	4	any	O	O	O	O	O		
6	3	5	routines	O	O	O	O	O		
6	3	6	you	O	O	O	O	O		
6	3	7	follow	O	O	O	O	O		
6	3	8	while	O	O	O	O	O		
6	3	9	washing	O	O	O	O	O		
6	3	10	your	O	O	O	O	O		
6	3	11	feet	O	O	O	O	O		
6	3	12	?	O	O	O	O	O		
6	4	1	Yes	O	O	O	O	O		
6	4	2	,	O	O	O	O	O		
6	4	3	I	O	O	O	O	O		
6	4	4	use	O	O	O	O	O		
6	4	5	a	O	O	O	O	O		
6	4	6	washcloth	O	O	O	O	O		
6	4	7	to	O	O	O	O	O		
6	4	8	gently	O	O	O	O	O		
6	4	9	scrub	O	O	O	O	O		
6	4	10	between	O	O	O	O	O		
6	4	11	my	O	O	O	O	O		
6	4	12	toes	O	O	O	O	O		
6	4	13	.	O	O	O	O	O		
6	5	1	How	O	O	O	O	O		
6	5	2	often	O	O	O	O	O		
6	5	3	do	O	O	O	O	O		
6	5	4	you	O	O	O	O	O		
6	5	5	wash	O	B-event	O	O	O		
6	5	6	your	O	O	O	O	O		
6	5	7	face	O	I-event	O	O	O		
6	5	8	during	O	O	O	O	O		
6	5	9	the	O	O	O	O	O		
6	5	10	day	O	O	O	O	O		
6	5	11	?	O	O	O	O	O		
6	6	1	I	O	O	O	O	O		
6	6	2	wash	O	O	O	O	O		
6	6	3	my	O	O	O	O	O		
6	6	4	face	O	O	O	O	O		
6	6	5	twice	O	B-time	O	O	O		
6	6	6	a	O	O	O	O	O		
6	6	7	day	O	I-time	O	O	O		
6	6	8	,	O	O	O	O	O		
6	6	9	in	O	I-time	O	O	O		
6	6	10	the	O	O	O	O	O		
6	6	11	morning	O	I-time	O	O	O		
6	6	12	and	O	O	O	O	O		
6	6	13	before	O	I-time	O	O	O		
6	6	14	going	O	I-time	O	O	O		
6	6	15	to	O	O	O	O	O		
6	6	16	bed	O	I-time	O	O	O		
6	6	17	.	O	O	O	O	O		
6	7	1	When	O	O	O	O	O		
6	7	2	do	O	O	O	O	O		
6	7	3	you	O	O	O	O	O		
6	7	4	find	O	O	O	O	O		
6	7	5	it	O	O	O	O	O		
6	7	6	most	O	O	O	O	O		
6	7	7	convenient	O	O	O	O	O		
6	7	8	to	O	O	O	O	O		
6	7	9	wash	O	O	O	O	O		
6	7	10	your	O	O	O	O	O		
6	7	11	hands	O	O	O	O	O		
6	7	12	thoroughly	O	O	O	O	O		
6	7	13	?	O	O	O	O	O		
6	8	1	I	O	O	O	O	O		
6	8	2	make	O	O	O	O	O		
6	8	3	sure	O	O	O	O	O		
6	8	4	to	O	O	O	O	O		
6	8	5	wash	O	O	B-event	O	O		
6	8	6	my	O	O	O	O	O		
6	8	7	hands	O	O	I-event	O	O		
6	8	8	properly	O	O	I-event	O	O		
6	8	9	before	O	O	B-time	O	O		
6	8	10	every	O	O	I-time	O	O		
6	8	11	meal	O	O	I-time	O	O		
6	8	12	.	O	O	O	O	O		
6	9	1	How	O	O	O	O	O		
6	9	2	do	O	O	O	O	O		
6	9	3	you	O	O	O	O	O		
6	9	4	dry	O	O	O	O	O		
6	9	5	yourself	O	O	O	O	O		
6	9	6	after	O	O	O	O	O		
6	9	7	showering	O	O	O	O	O		
6	9	8	?	O	O	O	O	O		
6	10	1	I	O	O	O	O	O		
6	10	2	use	O	O	O	O	O		
6	10	3	a	O	O	O	O	O		
6	10	4	soft	O	O	O	O	O		
6	10	5	towel	O	O	O	O	O		
6	10	6	to	O	O	O	O	O		
6	10	7	pat	O	O	O	O	O		
6	10	8	myself	O	O	O	O	O		
6	10	9	dry	O	O	O	O	O		
7	1	1	When	O	O	O	O	O		
7	1	2	do	O	O	O	O	O		
7	1	3	you	O	O	O	O	O		
7	1	4	usually	O	O	O	O	O		
7	1	5	take	O	O	O	O	O		
7	1	6	a	O	O	O	O	O		
7	1	7	shower	O	O	O	O	O		
7	1	8	?	O	O	O	O	O		
7	2	1	Oh	O	O	O	O	O		
7	2	2	,	O	O	O	O	O		
7	2	3	I	B-participants	O	O	O	O		
7	2	4	take	B-event	O	O	O	O		
7	2	5	a	I-event	O	O	O	O		
7	2	6	shower	I-event	O	O	O	O		
7	2	7	every	I-event	O	O	O	O		
7	2	8	morning	I-time	O	O	O	O		
7	2	9	after	I-time	O	O	O	O		
7	2	10	I	I-time	O	O	O	O		
7	2	11	wake	I-time	O	O	O	O		
7	2	12	up	I-time	O	O	O	O		
7	2	13	.	O	O	O	O	O		
7	3	1	Do	O	O	O	O	O		
7	3	2	you	O	O	O	O	O		
7	3	3	also	O	O	O	O	O		
7	3	4	wash	O	O	O	O	O		
7	3	5	your	O	O	O	O	O		
7	3	6	hair	O	O	O	O	O		
7	3	7	daily	O	O	O	O	O		
7	3	8	?	O	O	O	O	O		
7	4	1	Not	O	O	O	O	O		
7	4	2	daily	O	O	O	O	O		
7	4	3	,	O	O	O	O	O		
7	4	4	I	O	B-participants	O	O	O		
7	4	5	wash	O	B-event	O	O	O		
7	4	6	my	O	I-event	O	O	O		
7	4	7	hair	O	I-event	O	O	O		
7	4	8	every	O	B-time	O	O	O		
7	4	9	other	O	I-time	O	O	O		
7	4	10	day	O	I-time	O	O	O		
7	4	11	.	O	O	O	O	O		
7	5	1	How	O	O	O	O	O		
7	5	2	about	O	O	O	O	O		
7	5	3	washing	O	O	O	O	O		
7	5	4	your	O	O	O	O	O		
7	5	5	hands	O	O	O	O	O		
7	5	6	?	O	O	O	O	O		
7	6	1	I	O	O	B-participants	O	O		
7	6	2	wash	O	O	B-event	O	O		
7	6	3	my	O	O	I-event	O	O		
7	6	4	hands	O	O	I-event	O	O		
7	6	5	before	O	O	I-event	O	O		
7	6	6	and	O	O	I-time	O	O		
7	6	7	after	O	O	I-time	O	O		
7	6	8	every	O	O	I-time	O	O		
