conversation	sent_id	token_id	token	label
1	9	14	.	O
1	9	15	Keep	O
1	9	16	it	O
1	9	17	up	O
1	9	18	!	O
2	1	1	How	O
2	1	2	often	O
2	1	3	do	O
2	1	4	you	O
2	1	5	make	O
2	1	6	time	O
2	1	7	for	O
2	1	8	skincare	O
2	1	9	routine	O
2	1	10	?	O
2	2	1	I	O
2	2	2	try	O
2	2	3	to	O
2	2	4	do	O
2	2	5	it	O
2	2	6	every	O
2	2	7	morning	O
2	2	8	and	O
2	2	9	before	O
2	2	10	bed	O
2	2	11	.	O
2	3	1	That	O
2	3	2	sounds	O
2	3	3	great	O
2	3	4	!	O
2	3	5	How	O
2	3	6	about	O
2	3	7	brushing	O
2	3	8	your	O
2	3	9	teeth	O
2	3	10	?	O
2	4	1	Oh	O
2	4	2	,	O
2	4	3	I	O
2	4	4	brush	O
2	4	5	them	O
2	4	6	after	O
2	4	7	every	O
2	4	8	meal	O
2	4	9	.	O
2	5	1	How	O
2	5	2	do	O
2	5	3	you	O
2	5	4	ensure	O
2	5	5	you	O
2	5	6	stick	O
2	5	7	to	O
2	5	8	that	O
2	5	9	routine	O
2	5	10	?	O
2	6	1	I	O
2	6	2	set	O
2	6	3	reminders	O
2	6	4	on	O
2	6	5	my	O
2	6	6	phone	O
2	6	7	.	O
2	7	1	Nice	O
2	7	2	!	O
2	7	3	What	O
2	7	4	about	O
2	7	5	cutting	O
2	7	6	nails	O
2	7	7	and	O
2	7	8	genital	O
2	7	9	care	O
2	7	10	?	O
2	8	1	I	O
2	8	2	trim	O
2	8	3	my	O
2	8	4	nails	O
2	8	5	on	O
2	8	6	Sundays	O
2	8	7	and	O
2	8	8	genital	O
2	8	9	care	O
2	8	10	happens	O
2	8	11	during	O
2	8	12	my	O
2	8	13	morning	O
2	8	14	routine	O
2	8	15	.	O
2	9	1	It	O
2	9	2	's	O
2	9	3	good	O
2	9	4	to	O
2	9	5	have	O
2	9	6	a	O
2	9	7	consistent	O
2	9	8	self	O
2	9	9	-	O
2	9	10	care	O
2	9	11	routine	O
2	9	12	.	O
3	1	1	How	O
3	1	2	do	O
3	1	3	you	O
3	1	4	usually	O
3	1	5	go	O
3	1	6	about	O
3	1	7	brushing	O
3	1	8	your	O
3	1	9	teeth	O
3	1	10	,	O
3	1	11	P	O
3	1	12	?	O
3	2	1	I	O
3	2	2	use	O
3	2	3	a	O
3	2	4	soft	O
3	2	5	-	O
3	2	6	bristled	O
3	2	7	toothbrush	O
3	2	8	in	O
3	2	9	the	O
3	2	10	morning	O
3	2	11	and	O
3	2	12	at	O
3	2	13	night	O
3	2	14	before	O
3	2	15	bed	O
3	2	16	.	O
3	3	1	That	O
3	3	2	's	O
3	3	3	good	O
3	3	4	to	O
3	3	5	hear	O
3	3	6	!	O
3	3	7	When	O
3	3	8	do	O
3	3	9	you	O
3	3	10	usually	O
3	3	11	do	O
3	3	12	your	O
3	3	13	skincare	O
3	3	14	routine	O
3	3	15	?	O
3	4	1	I	O
3	4	2	do	O
3	4	3	my	O
3	4	4	skincare	O
3	4	5	routine	O
3	4	6	every	O
3	4	7	morning	O
3	4	8	after	O
3	4	9	waking	O
3	4	10	up	O
3	4	11	and	O
3	4	12	every	O
3	4	13	evening	O
3	4	14	before	O
3	4	15	going	O
3	4	16	to	O
3	4	17	bed	O
3	4	18	.	O
3	5	1	That	O
3	5	2	sounds	O
3	5	3	like	O
3	5	4	a	O
3	5	5	great	O
3	5	6	routine	O
3	5	7	!	O
3	5	8	How	O
3	5	9	about	O
3	5	10	when	O
3	5	11	do	O
3	5	12	you	O
3	5	13	cut	O
3	5	14	your	O
3	5	15	nails	O
3	5	16	,	O
3	5	17	P	O
3	5	18	?	O
3	6	1	I	O
3	6	2	usually	O
3	6	3	trim	O
3	6	4	my	O
3	6	5	nails	O
3	6	6	once	O
3	6	7	a	O
3	6	8	week	O
3	6	9	on	O
3	6	10	Sundays	O
3	6	11	.	O
3	7	1	That	O
3	7	2	sounds	O
3	7	3	like	O
3	7	4	a	O
3	7	5	nice	O
3	7	6	way	O
3	7	7	to	O
3	7	8	keep	O
3	7	9	them	O
3	7	10	tidy	O
3	7	11	.	O
3	7	12	How	O
3	7	13	do	O
3	7	14	you	O
3	7	15	approach	O
3	7	16	your	O
3	7	17	genital	O
3	7	18	care	O
3	7	19	?	O
3	8	1	I	O
3	8	2	make	O
3	8	3	sure	O
3	8	4	to	O
3	8	5	clean	O
3	8	6	my	O
3	8	7	genital	O
3	8	8	area	O
3	8	9	thoroughly	O
3	8	10	every	O
3	8	11	day	O
3	8	12	during	O
3	8	13	my	O
3	8	14	shower	O
3	8	15	.	O
3	9	1	That	O
3	9	2	's	O
3	9	3	important	O
4	1	1	How	O
4	1	2	do	O
4	1	3	you	O
4	1	4	usually	O
4	1	5	care	O
4	1	6	for	O
4	1	7	your	O
4	1	8	skin	O
4	1	9	every	O
4	1	10	day	O
4	1	11	?	O
4	2	1	I	O
4	2	2	make	O
4	2	3	sure	O
4	2	4	to	O
4	2	5	apply	O
4	2	6	moisturizer	O
4	2	7	in	O
4	2	8	the	O
4	2	9	morning	O
4	2	10	and	O
4	2	11	before	O
4	2	12	bed	O
4	2	13	.	O
4	3	1	When	O
4	3	2	do	O
4	3	3	you	O
4	3	4	find	O
4	3	5	it	O
4	3	6	best	O
4	3	7	to	O
4	3	8	brush	O
4	3	9	your	O
4	3	10	teeth	O
4	3	11	?	O
4	4	1	I	O
4	4	2	usually	O
4	4	3	brush	O
4	4	4	my	O
4	4	5	teeth	O
4	4	6	after	O
4	4	7	breakfast	O
4	4	8	and	O
4	4	9	before	O
4	4	10	going	O
4	4	11	to	O
4	4	12	bed	O
4	4	13	.	O
4	5	1	How	O
4	5	2	often	O
4	5	3	do	O
4	5	4	you	O
4	5	5	cut	O
4	5	6	your	O
4	5	7	nails	O
4	5	8	?	O
4	6	1	I	O
4	6	2	trim	O
4	6	3	my	O
4	6	4	nails	O
4	6	5	every	O
4	6	6	week	O
4	6	7	to	O
4	6	8	keep	O
4	6	9	them	O
4	6	10	neat	O
4	6	11	and	O
4	6	12	clean	O
4	6	13	.	O
4	7	1	What	O
4	7	2	about	O
4	7	3	taking	O
4	7	4	care	O
4	7	5	of	O
4	7	6	your	O
4	7	7	general	O
4	7	8	hygiene	O
4	7	9	?	O
4	8	1	I	O
4	8	2	take	O
4	8	3	a	O
4	8	4	shower	O
4	8	5	every	O
4	8	6	morning	O
4	8	7	to	O
4	8	8	freshen	O
4	8	9	up	O
4	8	10	.	O
4	9	1	How	O
4	9	2	do	O
4	9	3	you	O
4	9	4	make	O
4	9	5	sure	O
4	9	6	to	O
4	9	7	eat	O
4	9	8	and	O
4	9	9	drink	O
4	9	10	enough	O
4	9	11	?	O
4	10	1	I	O
4	10	2	set	O
4	10	3	alarms	O
4	10	4	throughout	O
4	10	5	the	O
4	10	6	day	O
4	10	7	to	O
4	10	8	remind	O
4	10	9	me	O
4	10	10	to	O
4	10	11	stay	O
4	10	12	hydrated	O
4	10	13	and	O
4	10	14	have	O
4	10	15	regular	O
4	10	16	meals	O
4	10	17	.	O
5	1	1	When	O
5	1	2	do	O
5	1	3	you	O
5	1	4	usually	O
5	1	5	do	O
5	1	6	your	O
5	1	7	skincare	O
5	1	8	routine	O
5	1	9	?	O
5	2	1	I	O
5	2	2	do	O
5	2	3	my	O
5	2	4	skincare	O
5	2	5	routine	O
5	2	6	in	O
5	2	7	the	O
5	2	8	morning	O
5	2	9	and	O
5	2	10	before	O
5	2	11	bed	O
5	2	12	.	O
5	3	1	That	O
5	3	2	's	O
5	3	3	great	O
5	3	4	.	O
5	3	5	How	O
5	3	6	about	O
5	3	7	brushing	O
5	3	8	your	O
5	3	9	teeth	O
5	3	10	?	O
5	4	1	I	O
5	4	2	brush	O
5	4	3	my	O
5	4	4	teeth	O
5	4	5	after	O
5	4	6	every	O
5	4	7	meal	O
5	4	8	.	O
5	5	1	How	O
5	5	2	often	O
5	5	3	do	O
5	5	4	you	O
5	5	5	cut	O
5	5	6	your	O
5	5	7	nails	O
5	5	8	?	O
5	6	1	I	O
5	6	2	cut	O
5	6	3	my	O
5	6	4	nails	O
5	6	5	once	O
5	6	6	a	O
5	6	7	week	O
5	6	8	usually	O
5	6	9	on	O
5	6	10	Sundays	O
5	6	11	.	O
5	7	1	And	O
5	7	2	how	O
5	7	3	do	O
5	7	4	you	O
5	7	5	take	O
5	7	6	care	O
5	7	7	of	O
5	7	8	your	O
5	7	9	general	O
5	7	10	hygiene	O
5	7	11	?	O
5	8	1	I	O
5	8	2	wash	O
5	8	3	and	O
5	8	4	change	O
5	8	5	regularly	O
5	8	6	to	O
5	8	7	keep	O
5	8	8	myself	O
5	8	9	clean	O
5	8	10	.	O
5	9	1	It	O
5	9	2	sounds	O
5	9	3	like	O
5	9	4	you	O
5	9	5	have	O
5	9	6	a	O
5	9	7	good	O
5	9	8	routine	O
5	9	9	for	O
5	9	10	self	O
5	9	11	-	O
5	9	12	care	O
5	9	13	.	O
5	10	1	Thank	O
5	10	2	you	O
5	10	3	,	O
5	10	4	it	O
5	10	5	's	O
5	10	6	important	O
5	10	7	to	O
5	10	8	take	O
5	10	9	care	O
5	10	10	of	O
5	10	11	oneself	O
5	10	12	.	O
6	1	1	How	O
6	1	2	often	O
6	1	3	do	O
6	1	4	you	O
6	1	5	usually	O
6	1	6	do	O
6	1	7	your	O
6	1	8	skincare	O
6	1	9	routine	O
6	1	10	?	O
6	2	1	Oh	O
6	2	2	,	O
6	2	3	I	O
6	2	4	do	O
6	2	5	it	O
6	2	6	every	O
6	2	7	morning	O
6	2	8	and	O
6	2	9	night	O
6	2	10	before	O
6	2	11	bed	O
6	2	12	.	O
6	3	1	That	O
6	3	2	's	O
6	3	3	great	O
6	3	4	!	O
6	3	5	How	O
6	3	6	about	O
6	3	7	brushing	O
6	3	8	your	O
6	3	9	teeth	O
6	3	10	,	O
6	3	11	when	O
6	3	12	do	O
6	3	13	you	O
6	3	14	do	O
6	3	15	that	O
6	3	16	?	O
6	4	1	I	O
6	4	2	brush	O
6	4	3	my	O
6	4	4	teeth	O
6	4	5	after	O
6	4	6	every	O
6	4	7	meal	O
6	4	8	and	O
6	4	9	before	O
6	4	10	bed	O
6	4	11	.	O
6	5	1	Good	O
6	5	2	habit	O
6	5	3	.	O
6	5	4	Do	O
6	5	5	you	O
6	5	6	find	O
6	5	7	cutting	O
6	5	8	your	O
6	5	9	nails	O
6	5	10	challenging	O
6	5	11	?	O
6	6	1	Yes	O
6	6	2	,	O
6	6	3	it	O
6	6	4	's	O
6	6	5	a	O
6	6	6	bit	O
6	6	7	harder	O
6	6	8	for	O
6	6	9	me	O
6	6	10	now	O
6	6	11	.	O
6	6	12	I	O
6	6	13	do	O
6	6	14	it	O
6	6	15	every	O
6	6	16	other	O
6	6	17	week	O
6	6	18	.	O
6	7	1	I	O
6	7	2	see	O
6	7	3	.	O
6	7	4	What	O
6	7	5	about	O
6	7	6	caring	O
6	7	7	for	O
6	7	8	your	O
6	7	9	general	O
6	7	10	health	O
6	7	11	?	O
6	7	12	How	O
6	7	13	do	O
6	7	14	you	O
6	7	15	manage	O
6	7	16	that	O
6	7	17	?	O
6	8	1	I	O
6	8	2	take	O
6	8	3	my	O
6	8	4	medication	O
6	8	5	daily	O
6	8	6	and	O
6	8	7	go	O
6	8	8	for	O
6	8	9	regular	O
6	8	10	check	O
6	8	11	-	O
6	8	12	ups	O
6	8	13	at	O
6	8	14	the	O
6	8	15	clinic	O
6	8	16	.	O
6	9	1	That	O
6	9	2	's	O
6	9	3	important	O
6	9	4	.	O
6	9	5	Taking	O
6	9	6	care	O
6	9	7	of	O
6	9	8	yourself	O
6	9	9	is	O
6	9	10	key	O
6	9	11	.	O
7	1	1	How	O
7	1	2	do	O
7	1	3	you	O
7	1	4	usually	O
7	1	5	start	O
7	1	6	your	O
7	1	7	day	O
7	1	8	?	O
7	2	1	I	O
7	2	2	wake	O
7	2	3	up	O
7	2	4	early	O
7	2	5	and	O
7	2	6	always	O
7	2	7	brush	O
7	2	8	my	O
7	2	9	teeth	O
7	2	10	first	O
7	2	11	thing	O
7	2	12	.	O
7	3	1	That	O
7	3	2	's	O
7	3	3	a	O
7	3	4	healthy	O
7	3	5	practice	O
7	3	6	.	O
7	3	7	How	O
7	3	8	about	O
7	3	9	in	O
7	3	10	the	O
7	3	11	evening	O
7	3	12	?	O
7	4	1	Before	O
7	4	2	bed	O
7	4	3	,	O
7	4	4	I	O
7	4	5	make	O
7	4	6	sure	O
7	4	7	I	O
7	4	8	wash	O
7	4	9	my	O
7	4	10	face	O
7	4	11	and	O
7	4	12	put	O
7	4	13	on	O
7	4	14	some	O
7	4	15	moisturizer	O
7	4	16	.	O
7	5	1	That	O
7	5	2	's	O
7	5	3	great	O
7	5	4	!	O
7	5	5	Do	O
7	5	6	you	O
7	5	7	have	O
7	5	8	a	O
7	5	9	routine	O
7	5	10	for	O
7	5	11	meal	O
7	5	12	times	O
7	5	13	?	O
7	6	1	Yes	O
7	6	2	,	O
7	6	3	I	O
7	6	4	always	O
7	6	5	make	O
7	6	6	myself	O
7	6	7	breakfast	O
7	6	8	before	O
7	6	9	starting	O
7	6	10	my	O
7	6	11	day	O
7	6	12	.	O
7	7	1	That	O
7	7	2	's	O
7	7	3	wonderful	O
7	7	4	.	O
7	7	5	How	O
7	7	6	about	O
7	7	7	staying	O
7	7	8	hydrated	O
7	7	9	throughout	O
7	7	10	the	O
7	7	11	day	O
7	7	12	?	O
7	8	1	I	O
7	8	2	drink	O
7	8	3	plenty	O
7	8	4	of	O
7	8	5	water	O
7	8	6	and	O
7	8	7	have	O
7	8	8	some	O
7	8	9	tea	O
7	8	10	in	O
7	8	11	the	O
7	8	12	afternoon	O
7	8	13	.	O
7	9	1	It	O
7	9	2	sounds	O
7	9	3	like	O
7	9	4	you	O
7	9	5	have	O
7	9	6	a	O
7	9	7	good	O
7	9	8	self	O
7	9	9	-	O
7	9	10	care	O
7	9	11	routine	O
7	9	12	in	O
7	9	13	place	O
7	9	14	.	O
7	9	15	Keep	O
7	9	16	it	O
7	9	17	up	O
7	9	18	!	O
8	1	1	How	O
8	1	2	do	O
8	1	3	you	O
8	1	4	usually	O
8	1	5	handle	O
8	1	6	cleaning	O
8	1	7	yourself	O
8	1	8	after	O
8	1	9	toileting	O
8	1	10	?	O
8	2	1	I	O
8	2	2	do	O
8	2	3	that	O
8	2	4	every	O
8	2	5	morning	O
8	2	6	and	O
8	2	7	use	O
8	2	8	wet	O
8	2	9	wipes	O
8	2	10	for	O
8	2	11	cleanliness	O
8	2	12	.	O
8	3	1	When	O
8	3	2	do	O
8	3	3	you	O
8	3	4	usually	O
8	3	5	take	O
8	3	6	your	O
8	3	7	medication	O
8	3	8	for	O
8	3	9	your	O
8	3	10	health	O
8	3	11	?	O
8	4	1	I	O
8	4	2	take	O
8	4	3	it	O
8	4	4	after	O
8	4	5	breakfast	O
8	4	6	and	O
8	4	7	before	O
8	4	8	going	O
8	4	9	to	O
8	4	10	bed	O
8	4	11	.	O
8	5	1	How	O
8	5	2	do	O
8	5	3	you	O
8	5	4	plan	O
8	5	5	your	O
8	5	6	meals	O
8	5	7	to	O
8	5	8	ensure	O
8	5	9	you	O
8	5	10	're	O
8	5	11	getting	O
8	5	12	proper	O
8	5	13	nutrition	O
8	5	14	?	O
8	6	1	I	O
8	6	2	make	O
8	6	3	sure	O
8	6	4	to	O
8	6	5	include	O
8	6	6	vegetables	O
8	6	7	and	O
8	6	8	fruits	O
8	6	9	in	O
8	6	10	every	O
8	6	11	meal	O
8	6	12	.	O
8	7	1	Do	O
8	7	2	you	O
8	7	3	have	O
8	7	4	a	O
8	7	5	particular	O
8	7	6	time	O
8	7	7	for	O
8	7	8	taking	O
8	7	9	care	O
8	7	10	of	O
8	7	11	personal	O
8	7	12	hygiene	O
8	7	13	,	O
8	7	14	like	O
8	7	15	bathing	O
8	7	16	?	O
8	8	1	I	O
8	8	2	prefer	O
8	8	3	to	O
8	8	4	take	O
8	8	5	a	O
8	8	6	shower	O
8	8	7	in	O
8	8	8	the	O
8	8	9	evening	O
8	8	10	before	O
8	8	11	bedtime	O
8	8	12	.	O
8	9	1	How	O
8	9	2	about	O
8	9	3	cleaning	O
8	9	4	menstruation	O
8	9	5	,	O
8	9	6	do	O
8	9	7	you	O
8	9	8	have	O
8	9	9	a	O
8	9	10	routine	O
8	9	11	for	O
8	9	12	that	O
8	9	13	?	O
8	10	1	I	O
8	10	2	change	O
8	10	3	the	O
8	10	4	pad	O
8	10	5	every	O
8	10	6	few	O
8	10	7	hours	O
8	10	8	to	O
8	10	9	maintain	O
8	10	10	hygiene	O
8	10	11	during	O
8	10	12	that	O
8	10	13	time	O
8	10	14	of	O
8	10	15	month	O
8	10	16	.	O
9	1	1	How	O
9	1	2	are	O
9	1	3	you	O
9	1	4	feeling	O
9	1	5	today	O
9	1	6	,	O
9	1	7	Susan	O
9	1	8	?	O
9	2	1	Oh	O
9	2	2	,	O
9	2	3	I	O
9	2	4	'm	O
9	2	5	feeling	O
9	2	6	alright	O
9	2	7	,	O
9	2	8	just	O
9	2	9	a	O
9	2	10	bit	O
9	2	11	tired	O
9	2	12	.	O
9	3	1	I	O
9	3	2	understand	O
9	3	3	.	O
9	3	4	Can	O
9	3	5	you	O
9	3	6	tell	O
9	3	7	me	O
9	3	8	about	O
9	3	9	your	O
9	3	10	morning	O
9	3	11	routine	O
9	3	12	?	O
9	4	1	Sure	O
9	4	2	.	O
9	4	3	I	O
9	4	4	usually	O
9	4	5	go	O
9	4	6	to	O
9	4	7	the	O
9	4	8	bathroom	O
9	4	9	to	O
9	4	10	pee	O
9	4	11	first	O
9	4	12	thing	O
9	4	13	in	O
9	4	14	the	O
9	4	15	morning	O
9	4	16	.	O
9	5	1	And	O
9	5	2	how	O
9	5	3	about	O
9	5	4	cleaning	O
9	5	5	yourself	O
9	5	6	after	O
9	5	7	using	O
9	5	8	the	O
9	5	9	toilet	O
9	5	10	?	O
9	6	1	I	O
9	6	2	make	O
9	6	3	sure	O
9	6	4	to	O
9	6	5	use	O
9	6	6	wet	O
9	6	7	wipes	O
9	6	8	to	O
9	6	9	clean	O
9	6	10	myself	O
9	6	11	properly	O
9	6	12	.	O
9	7	1	That	O
9	7	2	's	O
9	7	3	a	O
9	7	4	good	O
9	7	5	habit	O
9	7	6	.	O
9	7	7	What	O
9	7	8	about	O
9	7	9	during	O
9	7	10	menstruation	O
9	7	11	?	O
9	8	1	I	O
9	8	2	change	O
9	8	3	my	O
9	8	4	sanitary	O
9	8	5	pad	O
9	8	6	every	O
9	8	7	three	O
9	8	8	to	O
9	8	9	four	O
9	8	10	hours	O
9	8	11	.	O
9	8	12	Otherwise	O
9	8	13	,	O
9	8	14	I	O
9	8	15	feel	O
9	8	16	uncomfortable	O
9	8	17	.	O
10	1	1	How	O
10	1	2	do	O
10	1	3	you	O
10	1	4	feel	O
10	1	5	about	O
10	1	6	taking	O
10	1	7	a	O
10	1	8	bath	O
10	1	9	in	O
10	1	10	the	O
10	1	11	evening	O
10	1	12	,	O
10	1	13	Mrs.	O
10	1	14	Robinson	O
10	1	15	?	O
10	2	1	I	O
10	2	2	dread	O
10	2	3	it	O
10	2	4	,	O
10	2	5	especially	O
10	2	6	when	O
10	2	7	I	O
10	2	8	feel	O
10	2	9	exhausted	O
10	2	10	from	O
10	2	11	the	O
10	2	12	day	O
10	2	13	.	O
10	3	1	Do	O
10	3	2	you	O
10	3	3	prefer	O
10	3	4	taking	O
10	3	5	a	O
10	3	6	warm	O
10	3	7	or	O
10	3	8	cold	O
10	3	9	shower	O
10	3	10	to	O
10	3	11	relax	O
10	3	12	?	O
10	4	1	A	O
10	4	2	warm	O
10	4	3	shower	O
10	4	4	helps	O
10	4	5	my	O
10	4	6	muscles	O
10	4	7	relax	O
10	4	8	and	O
10	4	9	soothes	O
10	4	10	me	O
10	4	11	before	O
10	4	12	bed	O
10	4	13	.	O
10	5	1	How	O
10	5	2	about	O
10	5	3	using	O
10	5	4	the	O
10	5	5	stairs	O
10	5	6	at	O
10	5	7	home	O
10	5	8	?	O
10	6	1	I	O
10	6	2	use	O
10	6	3	them	O
10	6	4	every	O
10	6	5	evening	O
10	6	6	,	O
10	6	7	I	O
10	6	8	like	O
10	6	9	to	O
10	6	10	stay	O
10	6	11	active	O
10	6	12	.	O
10	7	1	That	O
10	7	2	's	O
10	7	3	great	O
10	7	4	to	O
10	7	5	hear	O
10	7	6	!	O
10	7	7	What	O
10	7	8	about	O
10	7	9	cooking	O
10	7	10	,	O
10	7	11	are	O
10	7	12	you	O
10	7	13	able	O
10	7	14	to	O
10	7	15	prepare	O
10	7	16	your	O
10	7	17	meals	O
10	7	18	independently	O
10	7	19	?	O
10	8	1	Yes	O
10	8	2	,	O
10	8	3	I	O
10	8	4	find	O
10	8	5	cooking	O
10	8	6	therapeutic	O
10	8	7	,	O
10	8	8	and	O
10	8	9	it	O
10	8	10	makes	O
10	8	11	me	O
10	8	12	feel	O
10	8	13	accomplished	O
10	8	14	.	O
11	1	1	How	O
11	1	2	are	O
11	1	3	you	O
11	1	4	feeling	O
11	1	5	today	O
11	1	6	?	O
11	2	1	I	O
11	2	2	'm	O
11	2	3	feeling	O
11	2	4	okay	O
11	2	5	,	O
11	2	6	just	O
11	2	7	a	O
11	2	8	bit	O
11	2	9	tired	O
11	2	10	.	O
11	3	1	Have	O
11	3	2	you	O
11	3	3	been	O
11	3	4	remembering	O
11	3	5	to	O
11	3	6	take	O
11	3	7	your	O
11	3	8	medication	O
11	3	9	?	O
11	4	1	Yes	O
11	4	2	,	O
11	4	3	I	O
11	4	4	take	O
11	4	5	them	O
11	4	6	with	O
11	4	7	breakfast	O
11	4	8	every	O
11	4	9	day	O
11	4	10	.	O
11	5	1	How	O
11	5	2	about	O
11	5	3	staying	O
11	5	4	hydrated	O
11	5	5	?	O
11	6	1	I	O
11	6	2	make	O
11	6	3	sure	O
11	6	4	to	O
11	6	5	drink	O
11	6	6	water	O
11	6	7	throughout	O
11	6	8	the	O
11	6	9	day	O
11	6	10	.	O
11	7	1	How	O
11	7	2	has	O
11	7	3	your	O
11	7	4	sleep	O
11	7	5	been	O
11	7	6	?	O
11	8	1	Not	O
11	8	2	great	O
11	8	3	,	O
11	8	4	I	O
11	8	5	've	O
11	8	6	been	O
11	8	7	waking	O
11	8	8	up	O
11	8	9	a	O
11	8	10	few	O
11	8	11	times	O
11	8	12	during	O
11	8	13	the	O
11	8	14	night	O
11	8	15	.	O
11	9	1	Do	O
11	9	2	you	O
11	9	3	have	O
11	9	4	a	O
11	9	5	regular	O
11	9	6	bedtime	O
11	9	7	routine	O
11	9	8	?	O
11	10	1	Yes	O
11	10	2	,	O
11	10	3	I	O
11	10	4	try	O
11	10	5	to	O
11	10	6	relax	O
11	10	7	before	O
11	10	8	bed	O
11	10	9	by	O
11	10	10	reading	O
11	10	11	a	O
11	10	12	book	O
11	10	13	.	O
12	1	1	Do	O
12	1	2	you	O
12	1	3	find	O
12	1	4	it	O
12	1	5	easy	O
12	1	6	to	O
12	1	7	get	O
12	1	8	dressed	O
12	1	9	in	O
12	1	10	the	O
12	1	11	morning	O
12	1	12	?	O
12	2	1	Yes	O
12	2	2	,	O
12	2	3	I	O
12	2	4	usually	O
12	2	5	get	O
12	2	6	dressed	O
12	2	7	after	O
12	2	8	my	O
12	2	9	morning	O
12	2	10	shower	O
12	2	11	.	O
12	3	1	How	O
12	3	2	about	O
12	3	3	brushing	O
12	3	4	your	O
12	3	5	teeth	O
12	3	6	,	O
12	3	7	when	O
12	3	8	do	O
12	3	9	you	O
12	3	10	usually	O
12	3	11	do	O
12	3	12	that	O
12	3	13	?	O
12	4	1	I	O
12	4	2	brush	O
12	4	3	my	O
12	4	4	teeth	O
12	4	5	right	O
12	4	6	after	O
12	4	7	breakfast	O
12	4	8	.	O
12	5	1	It	O
12	5	2	's	O
12	5	3	important	O
12	5	4	to	O
12	5	5	stay	O
12	5	6	hydrated	O
12	5	7	.	O
12	5	8	How	O
12	5	9	often	O
12	5	10	do	O
12	5	11	you	O
12	5	12	drink	O
12	5	13	water	O
12	5	14	during	O
12	5	15	the	O
12	5	16	day	O
12	5	17	?	O
12	6	1	I	O
12	6	2	make	O
12	6	3	sure	O
12	6	4	to	O
12	6	5	drink	O
12	6	6	a	O
12	6	7	glass	O
12	6	8	of	O
12	6	9	water	O
12	6	10	every	O
12	6	11	couple	O
12	6	12	of	O
12	6	13	hours	O
12	6	14	.	O
12	7	1	And	O
12	7	2	what	O
12	7	3	time	O
12	7	4	do	O
12	7	5	you	O
12	7	6	usually	O
12	7	7	go	O
12	7	8	to	O
12	7	9	bed	O
12	7	10	?	O
12	8	1	I	O
12	8	2	go	O
12	8	3	to	O
12	8	4	bed	O
12	8	5	around	O
12	8	6	10	O
12	8	7	pm	O
12	8	8	every	O
12	8	9	night	O
12	8	10	.	O
12	9	1	How	O
12	9	2	do	O
12	9	3	you	O
12	9	4	feel	O
12	9	5	after	O
12	9	6	you	O
12	9	7	get	O
12	9	8	ready	O
12	9	9	for	O
12	9	10	bed	O
12	9	11	?	O
13	1	1	When	O
13	1	2	do	O
13	1	3	you	O
13	1	4	usually	O
13	1	5	take	O
13	1	6	your	O
13	1	7	medication	O
13	1	8	,	O
13	1	9	if	O
13	1	10	you	O
